     PID         DATE      TIME      ELAPSED    CPU    MEM       RSS     VSIZE       CMD
   34917   2016-12-11  20:14:28        00:37  100.0   15.6   2610168   5107820  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=cv_glmnet_serial.R
   34917   2016-12-11  20:14:29        00:38   99.7   15.6   2610548   5107820  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=cv_glmnet_serial.R
   34917   2016-12-11  20:14:30        00:39   98.8   15.6   2610548   5107820  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=cv_glmnet_serial.R
   34917   2016-12-11  20:14:31        00:40  100.0   15.6   2610548   5107820  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=cv_glmnet_serial.R
   34917   2016-12-11  20:14:32        00:41  100.0   15.6   2610548   5107820  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=cv_glmnet_serial.R
   34917   2016-12-11  20:14:33        00:42  100.0   15.6   2610548   5107820  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=cv_glmnet_serial.R
   34917   2016-12-11  20:14:34        00:43  100.0   15.6   2610548   5107820  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=cv_glmnet_serial.R
   34917   2016-12-11  20:14:35        00:44  100.0   15.6   2610548   5107820  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=cv_glmnet_serial.R
   34917   2016-12-11  20:14:36        00:45  100.0   15.6   2610548   5107820  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=cv_glmnet_serial.R
   34917   2016-12-11  20:14:37        00:46  100.0   15.6   2610548   5107820  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=cv_glmnet_serial.R
   34917   2016-12-11  20:14:38        00:47   99.2   14.3   2394136   5107036  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=cv_glmnet_serial.R
   34917   2016-12-11  20:14:39        00:48  100.0   15.6   2609760   5107036  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=cv_glmnet_serial.R
   34917   2016-12-11  20:14:40        00:49  100.0   15.6   2609764   5107036  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=cv_glmnet_serial.R
   34917   2016-12-11  20:14:41        00:50  100.0   15.6   2608980   5106252  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=cv_glmnet_serial.R
   34917   2016-12-11  20:14:42        00:51  100.0   15.6   2610156   5107428  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=cv_glmnet_serial.R
   34917   2016-12-11  20:14:43        00:52  100.0   15.6   2610156   5107428  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=cv_glmnet_serial.R
   34917   2016-12-11  20:14:44        00:53  100.0   15.6   2610156   5107428  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=cv_glmnet_serial.R
   34917   2016-12-11  20:14:45        00:54   98.2   15.6   2610156   5107428  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=cv_glmnet_serial.R
   34917   2016-12-11  20:14:46        00:55  100.0   15.6   2610156   5107428  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=cv_glmnet_serial.R
   34917   2016-12-11  20:14:47        00:56  100.0   15.6   2610156   5107428  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=cv_glmnet_serial.R
   34917   2016-12-11  20:14:48        00:57  100.0   15.6   2610156   5107428  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=cv_glmnet_serial.R
   34917   2016-12-11  20:14:49        00:58  100.0   15.6   2610156   5107428  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=cv_glmnet_serial.R
   34917   2016-12-11  20:14:50        00:59  100.0   15.6   2610156   5107428  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=cv_glmnet_serial.R
   34917   2016-12-11  20:14:51        01:00  100.0   17.3   2901256   5810556  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=cv_glmnet_serial.R
   34917   2016-12-11  20:14:52        01:01   99.0   19.3   3243404   5810556  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=cv_glmnet_serial.R
   34917   2016-12-11  20:14:53        01:02  100.0   19.7   3313280   5810556  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=cv_glmnet_serial.R
   34917   2016-12-11  20:14:54        01:03  100.0   13.0   2187500   5108208  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=cv_glmnet_serial.R
   34917   2016-12-11  20:14:55        01:04   99.1   15.6   2611720   5108992  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=cv_glmnet_serial.R
   34917   2016-12-11  20:14:56        01:05  100.0   15.6   2611720   5108992  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=cv_glmnet_serial.R
   34917   2016-12-11  20:14:57        01:07  100.0   15.6   2611720   5108992  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=cv_glmnet_serial.R
   34917   2016-12-11  20:14:59        01:08  100.0   15.6   2611720   5108992  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=cv_glmnet_serial.R
   34917   2016-12-11  20:15:00        01:09  100.0   15.6   2611720   5108992  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=cv_glmnet_serial.R
   34917   2016-12-11  20:15:01        01:10  100.0   15.6   2611720   5108992  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=cv_glmnet_serial.R
   34917   2016-12-11  20:15:02        01:11  100.0   15.6   2611720   5108992  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=cv_glmnet_serial.R
   34917   2016-12-11  20:15:03        01:12  100.0   15.6   2611720   5108992  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=cv_glmnet_serial.R
   34917   2016-12-11  20:15:04        01:13  100.0   15.6   2611720   5108992  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=cv_glmnet_serial.R
   34917   2016-12-11  20:15:05        01:14   99.6   15.6   2611720   5108992  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=cv_glmnet_serial.R
   34917   2016-12-11  20:15:06        01:15  100.0   18.4   3089844   5812120  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=cv_glmnet_serial.R
   34917   2016-12-11  20:15:07        01:16  100.0   19.8   3314844   5812120  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=cv_glmnet_serial.R
   34917   2016-12-11  20:15:08        01:17  100.0   19.8   3314848   5812120  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=cv_glmnet_serial.R
   34917   2016-12-11  20:15:09        01:18  100.0   15.6   2611728   5108992  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=cv_glmnet_serial.R
   34917   2016-12-11  20:15:10        01:19  100.0   15.6   2612512   5109776  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=cv_glmnet_serial.R
   34917   2016-12-11  20:15:11        01:20  100.0   15.6   2612512   5109776  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=cv_glmnet_serial.R
   34917   2016-12-11  20:15:12        01:21   99.7   15.6   2612512   5109776  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=cv_glmnet_serial.R
   34917   2016-12-11  20:15:13        01:22  100.0   15.6   2612512   5109776  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=cv_glmnet_serial.R
   34917   2016-12-11  20:15:14        01:23  100.0   15.6   2612512   5109776  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=cv_glmnet_serial.R
   34917   2016-12-11  20:15:15        01:24  100.0   15.6   2612512   5109776  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=cv_glmnet_serial.R
   34917   2016-12-11  20:15:16        01:25  100.0   15.6   2612512   5109776  /Library/Frameworks/R.framework/Resources/bin/exec/R --slave --no-restore --file=cv_glmnet_serial.R
